Height(km):	Beta355 (Mm^-1 sr^-1):	error beta355 (Mm^-1 sr^-1)	Beta532 (Mm^-1 sr^-1):	error beta532 (Mm^-1 sr^-1)	Beta1064 (Mm^-1 sr^-1):	error beta1064 (Mm^-1 sr^-1)	alpha355 (Mm^-1 sr^-1):	error alpha355 (Mm^-1)	alpha532 (Mm^-1 sr^-1):	error alpha532 (Mm^-1)	S355 (sr^-1)	errorS355	S532 (sr^-1)	error S532	Angstrom ext	error Angstrom ext	Angstrom b355/532	error Angstrom b355/532	Angstrom b532/1064	error Angstrom b532/1064 	voldepol höhe	vol.depol 532	error vol.depol 	partdepolhöhe	part. depol 532	error part. depol	sounding height (km)	Temperature (K)	Pressure (Pa)	voltdepol height	vol. depol 355	error	partdepol height	part. depol 355	error	Mixing ratio height (km)	Water vapour mixing ratio (g/kg)	Height NF (km):	Beta532 NF (Mm^-1 sr^-1):	error beta532 NF (Mm^-1 sr^-1)	alpha 532 NF (Mm^-1 sr^-1):	error alpha532 NF (Mm^-1)	Spar 532 NF (sr):	error Spar532 NF (sr)	Height HSRL (km):	BetaHSRL (Mm^-1 sr^-1):	error betaHSRL (Mm^-1 sr^-1)	alpha HSRL (Mm^-1 sr^-1):	error alphaHSRL (Mm^-1)	Spar HSRL (sr)	error Spar HSRL (sr)	vol. depol 1064	error	part. depol 1064	error	water_vapour_error	Sounding height	water_vapor_mix_sonde	Height NF 355 (km):	Beta355 NF (Mm^-1 sr^-1):	error beta355 NF (Mm^-1 sr^-1)	alpha 355 NF (Mm^-1 sr^-1):	error alpha355 NF (Mm^-1)	Spar 355 NF (sr):	error Spar 355 NF (sr)	BetaMOL 355 (m^-1 sr^-1)	BetaMOL 532 (m^-1 sr^-1)	BetaMOL 1064 (m^-1 sr^-1)
0.369852	2.856834	0.428525	2.238174	0.335726	1.402128	0.210319	-4995.700405	2101.858412	-5191.202485	2219.671460	-1748.684007	-781.089719	-2319.391383	-1050.987549	-0.094896	-0.140721	0.603308	0.316373	0.674705	0.206488	0.369852	0.149387	0.014939	0.369852	0.249370	0.024937	3.750000	300.612183	91644.023437	0.369852	0.035881	0.003588	0.369852	0.109359	0.010936	0.000000	0.000000	0.369852	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.465454	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007156	0.001342	0.000081
0.377323	2.852999	0.427950	2.237320	0.335598	1.402121	0.210318	-4609.854010	1821.105486	-4795.534160	1942.835417	-1615.792646	-682.778091	-2143.427741	-925.985116	-0.097618	-0.136550	0.600930	0.315126	0.674161	0.206322	0.377323	0.146831	0.014683	0.377323	0.244610	0.024461	11.221460	300.560211	91562.812500	0.377323	0.035553	0.003555	0.377323	0.108088	0.010809	0.000000	0.000000	0.377323	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.462808	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007150	0.001342	0.000081
0.384794	2.849576	0.427436	2.236160	0.335424	1.401750	0.210262	-4345.586802	1696.086536	-4524.015610	1818.627308	-1524.994426	-637.649772	-2023.117700	-868.054732	-0.099473	-0.137777	0.599244	0.314242	0.673795	0.206209	0.384794	0.147562	0.014756	0.384794	0.246024	0.024602	18.692921	300.508209	91481.601562	0.384794	0.035476	0.003548	0.384794	0.107826	0.010783	0.000000	0.000000	0.384794	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.460969	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007145	0.001341	0.000081
0.392266	2.847322	0.427098	2.234476	0.335171	1.401044	0.210157	-4101.336705	1587.372957	-4272.467917	1710.022646	-1440.419004	-597.901213	-1912.066839	-817.269232	-0.101053	-0.139085	0.599151	0.314193	0.673434	0.206099	0.392266	0.147193	0.014719	0.392266	0.245378	0.024538	26.164381	300.456238	91400.390625	0.392266	0.035333	0.003533	0.392266	0.107302	0.010730	0.000000	0.000000	0.392266	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.458833	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007140	0.001340	0.000081
0.399737	2.843371	0.426506	2.233023	0.334953	1.400389	0.210058	-3877.783576	1495.200687	-4039.182387	1615.661593	-1363.798187	-564.244879	-1808.840695	-772.732319	-0.100806	-0.138448	0.597327	0.313236	0.673170	0.206018	0.399737	0.146829	0.014683	0.399737	0.244744	0.024474	33.635841	300.404266	91319.171875	0.399737	0.035181	0.003518	0.399737	0.106745	0.010674	0.000000	0.000000	0.399737	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.455690	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007135	0.001339	0.000081
0.407209	2.839406	0.425911	2.231206	0.334681	1.399586	0.209938	-3668.103578	1412.812397	-3817.950677	1528.880861	-1291.855867	-533.974846	-1711.160040	-731.721594	-0.098978	-0.135945	0.595890	0.312483	0.672823	0.205912	0.407209	0.146485	0.014648	0.407209	0.244151	0.024415	41.107300	300.352295	91237.960937	0.407209	0.035006	0.003501	0.407209	0.106101	0.010610	0.000000	0.000000	0.407209	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.452354	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007130	0.001338	0.000081
0.414680	2.834692	0.425204	2.229289	0.334393	1.398766	0.209815	-3468.231931	1336.108328	-3604.013148	1445.590795	-1223.495095	-505.810299	-1616.665055	-692.313874	-0.094934	-0.130515	0.593907	0.311443	0.672428	0.205791	0.414680	0.146218	0.014622	0.414680	0.243706	0.024371	48.578762	300.300323	91156.750000	0.414680	0.034803	0.003480	0.414680	0.105348	0.010535	0.000000	0.000000	0.414680	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.447885	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007125	0.001337	0.000081
0.422152	2.830325	0.424549	2.226907	0.334036	1.397594	0.209639	-3275.845083	1263.474748	-3397.348934	1365.079499	-1157.409475	-478.977500	-1525.590710	-654.314957	-0.090030	-0.123957	0.592738	0.310830	0.672096	0.205690	0.422152	0.145979	0.014598	0.422152	0.243319	0.024332	56.050220	300.248352	91075.539062	0.422152	0.034585	0.003459	0.422152	0.104541	0.010454	0.000000	0.000000	0.422152	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.443468	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007120	0.001336	0.000081
0.429623	2.825294	0.423794	2.224811	0.333722	1.396555	0.209483	-3089.826386	1193.195688	-3195.638713	1286.192917	-1093.630068	-453.067360	-1436.364340	-616.956918	-0.083238	-0.114773	0.590668	0.309745	0.671810	0.205602	0.429623	0.145779	0.014578	0.429623	0.243009	0.024301	63.521683	300.196381	90994.328125	0.429623	0.034345	0.003435	0.429623	0.103649	0.010365	0.000000	0.000000	0.429623	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.438552	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007115	0.001335	0.000081
0.437095	2.820235	0.423035	2.222479	0.333372	1.395379	0.209307	-2908.621365	1123.969240	-2998.977053	1208.105691	-1031.339979	-427.509605	-1349.383598	-580.045796	-0.075624	-0.104356	0.588830	0.308781	0.671513	0.205511	0.437095	0.145582	0.014558	0.437095	0.242707	0.024271	70.993141	300.144409	90913.117187	0.437095	0.034105	0.003410	0.437095	0.102758	0.010276	0.000000	0.000000	0.437095	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.433769	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007109	0.001334	0.000081
