Height(km):	Beta355 (Mm^-1 sr^-1):	error beta355 (Mm^-1 sr^-1)	Beta532 (Mm^-1 sr^-1):	error beta532 (Mm^-1 sr^-1)	Beta1064 (Mm^-1 sr^-1):	error beta1064 (Mm^-1 sr^-1)	alpha355 (Mm^-1 sr^-1):	error alpha355 (Mm^-1)	alpha532 (Mm^-1 sr^-1):	error alpha532 (Mm^-1)	S355 (sr^-1)	errorS355	S532 (sr^-1)	error S532	Angstrom ext	error Angstrom ext	Angstrom b355/532	error Angstrom b355/532	Angstrom b532/1064	error Angstrom b532/1064 	voldepol höhe	vol.depol 532	error vol.depol 	partdepolhöhe	part. depol 532	error part. depol	sounding height (km)	Temperature (K)	Pressure (Pa)	voltdepol height	vol. depol 355	error	vol. depol 1064	error	partdepol height	part. depol 355	error	part. depol 1064	error	Mixing ratio height (km)	Water vapour mixing ratio (g/kg)	Height NF (km):	Beta532 NF (Mm^-1 sr^-1):	error beta532 NF (Mm^-1 sr^-1)	alpha 532 NF (Mm^-1 sr^-1):	error alpha532 NF (Mm^-1)	Spar 532 NF (sr):	error Spar532 NF (sr)	Height HSRL (km):	BetaHSRL (Mm^-1 sr^-1):	error betaHSRL (Mm^-1 sr^-1)	alpha HSRL (Mm^-1 sr^-1):	error alphaHSRL (Mm^-1)	Spar HSRL (sr)	error Spar HSRL (sr)
0.068886	-7.911194	0.000000	-1.431979	0.000000	-0.075229	0.000000	-435.115653	0.000000	-78.758834	0.000000	55.000000	0.000000	55.000000	0.000000	4.225248	0.000000	4.225248	0.000000	4.250577	0.000000	0.068886	0.067780	0.006778	0.068886	0.004260	0.000426	0.068886	291.395721	100491.429687	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.068886	NaN	0.158543	NaN	NaN	-59.513358	-0.010344	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.098772	-7.442788	0.000000	-1.158881	0.000000	-0.020651	0.000000	-409.353326	0.000000	-63.738450	0.000000	55.000000	0.000000	55.000000	0.000000	4.597460	0.000000	4.597460	0.000000	5.810347	0.000000	0.098772	0.059861	0.005986	0.098772	-0.003196	-0.000320	0.098772	291.224945	100149.875000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.098772	NaN	0.188429	NaN	NaN	-59.697528	-0.010313	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.128658	-6.394881	0.000000	-0.617784	0.000000	0.087853	0.000000	-351.718454	0.000000	-33.978136	0.000000	55.000000	0.000000	55.000000	0.000000	5.777417	0.000000	5.777417	0.000000	NaN	NaN	0.128658	0.050163	0.005016	0.128658	-0.042549	-0.004255	0.128658	291.119843	99806.945312	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.128658	NaN	0.218315	NaN	NaN	-59.883286	-0.010281	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.158543	-4.569587	0.000000	0.195458	0.000000	0.248026	0.000000	-251.327264	0.000000	10.750209	0.000000	55.000000	0.000000	55.000000	0.000000	NaN	NaN	NaN	NaN	-0.343632	0.000000	0.158543	0.047566	0.004757	0.158543	0.961331	0.096133	0.158543	291.066071	99462.937500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.158543	NaN	0.248201	NaN	NaN	-60.070653	-0.010250	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.188429	-2.184393	0.000000	1.122413	0.000000	0.435531	0.000000	-120.141613	0.000000	61.732718	0.000000	55.000000	0.000000	55.000000	0.000000	NaN	NaN	NaN	NaN	1.365756	0.000000	0.188429	0.047386	0.004739	0.188429	0.107972	0.010797	0.188429	291.012329	99118.921875	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.188429	NaN	0.278087	NaN	NaN	-60.259643	-0.010218	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.218315	0.303157	0.000000	2.062870	0.000000	0.636658	0.000000	16.673649	0.000000	113.457862	0.000000	55.000000	0.000000	55.000000	0.000000	-4.740371	0.000000	-4.740371	0.000000	1.696062	0.000000	0.218315	0.047085	0.004709	0.218315	0.079103	0.007910	0.218315	290.958588	98774.914062	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.218315	NaN	0.307973	NaN	NaN	-60.450276	-0.010187	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.248201	2.825734	0.000000	3.051891	0.000000	0.861724	0.000000	155.415351	0.000000	167.854027	0.000000	55.000000	0.000000	55.000000	0.000000	-0.190330	0.000000	-0.190330	0.000000	1.824405	0.000000	0.248201	0.046695	0.004669	0.248201	0.068800	0.006880	0.248201	290.904816	98430.906250	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.248201	NaN	0.337858	NaN	NaN	-60.591518	-0.010172	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.278087	5.570173	0.000000	4.217910	0.000000	1.126662	0.000000	306.359520	0.000000	231.985075	0.000000	55.000000	0.000000	55.000000	0.000000	0.687438	0.000000	0.687438	0.000000	1.904474	0.000000	0.278087	0.045750	0.004575	0.278087	0.061121	0.006112	0.278087	290.851074	98086.898437	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.278087	NaN	0.367744	NaN	NaN	-60.612666	-0.010159	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.307973	8.651477	0.000000	5.586759	0.000000	1.429618	0.000000	475.831209	0.000000	307.271742	0.000000	55.000000	0.000000	55.000000	0.000000	1.081095	0.000000	1.081095	0.000000	1.966382	0.000000	0.307973	0.044373	0.004437	0.307973	0.055205	0.005521	0.307973	290.797333	97742.882812	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.307973	NaN	0.397630	NaN	NaN	-60.546327	-0.010115	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.337858	11.602567	0.000000	6.984278	0.000000	1.734695	0.000000	638.141175	0.000000	384.135312	0.000000	55.000000	0.000000	55.000000	0.000000	1.254716	0.000000	1.254716	0.000000	2.009429	0.000000	0.337858	0.042828	0.004283	0.337858	0.050995	0.005099	0.337858	290.743561	97398.875000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.337858	NaN	0.427516	NaN	NaN	-60.425374	-0.010066	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
