Height(km):	Beta355 (Mm^-1 sr^-1):	error beta355 (Mm^-1 sr^-1)	Beta532 (Mm^-1 sr^-1):	error beta532 (Mm^-1 sr^-1)	Beta1064 (Mm^-1 sr^-1):	error beta1064 (Mm^-1 sr^-1)	alpha355 (Mm^-1 sr^-1):	error alpha355 (Mm^-1)	alpha532 (Mm^-1 sr^-1):	error alpha532 (Mm^-1)	S355 (sr^-1)	errorS355	S532 (sr^-1)	error S532	Angstrom ext	error Angstrom ext	Angstrom b355/532	error Angstrom b355/532	Angstrom b532/1064	error Angstrom b532/1064 	voldepol höhe	vol.depol 532	error vol.depol 	partdepolhöhe	part. depol 532	error part. depol	sounding height (km)	Temperature (K)	Pressure (Pa)	voltdepol height	vol. depol 355	error	partdepol height	part. depol 355	error	Mixing ratio height (km)	Water vapour mixing ratio (g/kg)	Height NF (km):	Beta532 NF (Mm^-1 sr^-1):	error beta532 NF (Mm^-1 sr^-1)	alpha 532 NF (Mm^-1 sr^-1):	error alpha532 NF (Mm^-1)	Spar 532 NF (sr):	error Spar532 NF (sr)	Height HSRL (km):	BetaHSRL (Mm^-1 sr^-1):	error betaHSRL (Mm^-1 sr^-1)	alpha HSRL (Mm^-1 sr^-1):	error alphaHSRL (Mm^-1)	Spar HSRL (sr)	error Spar HSRL (sr)	vol. depol 1064	error	part. depol 1064	error	water_vapour_error	Sounding height	water_vapor_mix_sonde	Height NF 355 (km):	Beta355 NF (Mm^-1 sr^-1):	error beta355 NF (Mm^-1 sr^-1)	alpha 355 NF (Mm^-1 sr^-1):	error alpha355 NF (Mm^-1)	Spar 355 NF (sr):	error Spar 355 NF (sr)	BetaMOL 355 (m^-1 sr^-1)	BetaMOL 532 (m^-1 sr^-1)	BetaMOL 1064 (m^-1 sr^-1)	Ang b355/532 NF	Error Ang b355/532 NF	Ang Ext NF	Error Ang Ext NF
0.183065	1.401004	0.210151	0.948968	0.142345	0.454158	0.068124	-8859.050039	4786.922743	-9694.755694	4994.904389	-6323.360298	-3545.991388	-10216.102748	-5482.047841	-0.222843	-0.411285	0.963026	0.505008	1.063166	0.325373	0.183065	0.028846	0.002885	0.183065	0.056974	0.005697	3.750000	295.195618	100417.421875	0.183065	0.016014	0.001601	0.183065	0.044876	0.004488	0.000000	0.000000	0.183065	0.955977	0.000143	-9694.755694	4.994904	-10141.200302	-5441.854550	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	0.000000	0.000000	2.238685	0.000000	0.000000	0.183065	1.448991	NaN	-8859.050039	4.786923	-6113.944426	0.000000	0.007984	0.001498	0.000091	1.028090	NaN	-0.222843	NaN
0.190537	1.397710	0.209656	0.947513	0.142127	0.452362	0.067854	-7483.558505	3967.114031	-8322.809013	4247.657565	-5354.156849	-2949.733716	-8783.851219	-4672.570101	-0.262756	-0.477970	0.961003	0.503947	1.066667	0.326445	0.190537	0.028371	0.002837	0.190537	0.055716	0.005572	11.221460	295.147064	100331.390625	0.190537	0.015882	0.001588	0.190537	0.044000	0.004400	0.000000	0.000000	0.190537	0.954605	0.000143	-8322.809013	4.247658	-8718.591615	-4637.855252	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	0.000000	0.000000	2.160363	0.000000	0.000000	0.190537	1.445669	NaN	-7483.558505	3.967114	-5176.536766	0.000000	0.007979	0.001497	0.000091	1.025967	NaN	-0.262756	NaN
0.198008	1.396534	0.209480	0.945047	0.141757	0.450451	0.067568	-6490.345843	3514.079579	-7318.537744	3827.923256	-4647.466152	-2611.067033	-7744.100574	-4213.786249	-0.296878	-0.552481	0.965364	0.506234	1.069015	0.327163	0.198008	0.028158	0.002816	0.198008	0.055193	0.005519	18.692921	295.098511	100245.351562	0.198008	0.015539	0.001554	0.198008	0.041622	0.004162	0.000000	0.000000	0.198008	0.952219	0.000143	-7318.537744	3.827923	-7685.771370	-4182.047664	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	0.000000	0.000000	0.450697	0.000000	0.000000	0.198008	1.444476	NaN	-6490.345843	3.514080	-4493.219261	0.000000	0.007973	0.001496	0.000091	1.030112	NaN	-0.296878	NaN
0.205479	1.389232	0.208385	0.943265	0.141490	0.448711	0.067307	-5560.890737	3083.926311	-6372.605032	3435.242693	-4002.851837	-2299.646217	-6755.902327	-3780.228429	-0.336814	-0.643942	0.957070	0.501885	1.071875	0.328039	0.205479	0.028371	0.002837	0.205479	0.055788	0.005579	26.164381	295.049927	100159.320312	0.205479	0.015568	0.001557	0.205479	0.041939	0.004194	0.000000	0.000000	0.205479	0.950519	0.000143	-6372.605032	3.435243	-6704.344491	-3751.379522	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	0.000000	0.000000	0.448426	0.000000	0.000000	0.205479	1.437124	NaN	-5560.890737	3.083926	-3869.458412	0.000000	0.007968	0.001495	0.000090	1.021916	NaN	-0.336814	NaN
0.212951	1.386062	0.207909	0.942188	0.141328	0.446732	0.067010	-4683.790054	2666.570420	-5466.404516	3049.963326	-3379.206493	-1989.500650	-5801.821331	-3352.050750	-0.381962	-0.752675	0.954247	0.500404	1.076606	0.329486	0.212951	0.028498	0.002850	0.212951	0.056134	0.005613	33.635841	295.001373	100073.281250	0.212951	0.015566	0.001557	0.212951	0.041955	0.004196	0.000000	0.000000	0.212951	0.949525	0.000142	-5466.404516	3.049963	-5756.987359	-3326.147548	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	0.000000	0.000000	0.445785	0.000000	0.000000	0.212951	1.433925	NaN	-4683.790054	2.666570	-3266.411626	0.000000	0.007962	0.001494	0.000090	1.018993	NaN	-0.381962	NaN
0.220422	1.381803	0.207270	0.940825	0.141124	0.444664	0.066700	-3858.864793	2255.154729	-4597.804294	2662.455919	-2792.630020	-1684.939061	-4886.993535	-2923.318579	-0.433114	-0.880856	0.950218	0.498291	1.081209	0.330895	0.220422	0.028537	0.002854	0.220422	0.056254	0.005625	41.107300	294.967590	99987.359375	0.220422	0.015558	0.001556	0.220422	0.041958	0.004196	0.000000	0.000000	0.220422	0.948245	0.000142	-4597.804294	2.662456	-4848.752644	-2900.443511	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	0.000000	0.000000	0.443381	0.000000	0.000000	0.220422	1.429632	NaN	-3858.864793	2.255155	-2699.201696	0.000000	0.007956	0.001493	0.000090	1.014916	NaN	-0.433114	NaN
0.227894	1.383590	0.207539	0.939498	0.140925	0.442529	0.066379	-3111.469247	1873.376969	-3775.354882	2275.296841	-2248.837507	-1395.384096	-4018.481581	-2495.707790	-0.478089	-1.006811	0.956902	0.501796	1.086119	0.332398	0.227894	0.028537	0.002854	0.227894	0.056264	0.005626	48.578762	295.018768	99902.070312	0.227894	0.015538	0.001554	0.227894	0.041761	0.004176	0.000000	0.000000	0.227894	0.947000	0.000142	-3775.354882	2.275297	-3986.645767	-2475.935921	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	0.000000	0.000000	0.440563	0.000000	0.000000	0.227894	1.431416	NaN	-3111.469247	1.873377	-2173.700246	0.000000	0.007948	0.001491	0.000090	1.021245	NaN	-0.478089	NaN
0.235365	1.382036	0.207305	0.938299	0.140745	0.440565	0.066085	-2459.777996	1536.256226	-3016.504680	1901.409655	-1779.821418	-1143.199201	-3214.866235	-2083.031648	-0.504363	-1.106346	0.957282	0.501996	1.090692	0.333797	0.235365	0.028535	0.002853	0.235365	0.056268	0.005627	56.050220	295.069946	99816.781250	0.235365	0.015515	0.001552	0.235365	0.041603	0.004160	0.000000	0.000000	0.235365	0.945884	0.000142	-3016.504680	1.901410	-3189.086023	-2066.327688	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	0.000000	0.000000	0.436862	0.000000	0.000000	0.235365	1.429842	NaN	-2459.777996	1.536256	-1720.314514	0.000000	0.007940	0.001490	0.000090	1.021442	NaN	-0.504363	NaN
0.242837	1.375819	0.206373	0.937187	0.140578	0.438755	0.065813	-1892.588121	1231.819381	-2324.340207	1537.187539	-1375.608379	-918.804722	-2480.124321	-1681.874266	-0.507980	-1.165205	0.949066	0.497687	1.094921	0.335092	0.242837	0.028496	0.002850	0.242837	0.056170	0.005617	63.521683	295.121094	99731.484375	0.242837	0.015492	0.001549	0.242837	0.041537	0.004154	0.000000	0.000000	0.242837	0.944855	0.000142	-2324.340207	1.537188	-2459.997225	-1668.225255	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	0.000000	0.000000	0.434978	0.000000	0.000000	0.242837	1.423580	NaN	-1892.588121	1.231819	-1329.456823	0.000000	0.007932	0.001488	0.000090	1.013283	NaN	-0.507980	NaN
0.250308	1.371346	0.205702	0.935607	0.140341	0.436757	0.065514	-1394.351111	943.174494	-1699.002290	1173.646275	-1016.775641	-704.480476	-1815.935353	-1283.655289	-0.488503	-1.167524	0.945186	0.495653	1.099072	0.336362	0.250308	0.028485	0.002849	0.250308	0.056160	0.005616	70.993141	295.172272	99646.195312	0.250308	0.015474	0.001547	0.250308	0.041471	0.004147	0.000000	0.000000	0.250308	0.943356	0.000142	-1699.002290	1.173646	-1801.018975	-1273.111142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	0.000000	0.000000	0.431390	0.000000	0.000000	0.250308	1.419071	NaN	-1394.351111	0.943174	-982.579903	0.000000	0.007924	0.001487	0.000090	1.009365	NaN	-0.488503	NaN
