Height(km):	Beta355 (Mm^-1 sr^-1):	error beta355 (Mm^-1 sr^-1)	Beta532 (Mm^-1 sr^-1):	error beta532 (Mm^-1 sr^-1)	Beta1064 (Mm^-1 sr^-1):	error beta1064 (Mm^-1 sr^-1)	alpha355 (Mm^-1 sr^-1):	error alpha355 (Mm^-1)	alpha532 (Mm^-1 sr^-1):	error alpha532 (Mm^-1)	S355 (sr^-1)	errorS355	S532 (sr^-1)	error S532	Angstrom ext	error Angstrom ext	Angstrom b355/532	error Angstrom b355/532	Angstrom b532/1064	error Angstrom b532/1064 	voldepol höhe	vol.depol 532	error vol.depol 	partdepolhöhe	part. depol 532	error part. depol	sounding height (km)	Temperature (K)	Pressure (Pa)	voltdepol height	vol. depol 355	error	vol. depol 1064	error	partdepol height	part. depol 355	error	part. depol 1064	error	Mixing ratio height (km)	Water vapour mixing ratio (g/kg)	Height NF (km):	Beta532 NF (Mm^-1 sr^-1):	error beta532 NF (Mm^-1 sr^-1)	alpha 532 NF (Mm^-1 sr^-1):	error alpha532 NF (Mm^-1)	Spar 532 NF (sr):	error Spar532 NF (sr)	Height HSRL (km):	BetaHSRL (Mm^-1 sr^-1):	error betaHSRL (Mm^-1 sr^-1)	alpha HSRL (Mm^-1 sr^-1):	error alphaHSRL (Mm^-1)	Spar HSRL (sr)	error Spar HSRL (sr)
0.397630	11.977869	1.796680	7.747219	1.162083	1.672299	0.250845	-3041.167807	552.105611	-3286.457116	639.636773	-253.898913	-59.792092	-424.211209	-104.238700	-0.191752	-0.126162	1.077130	0.564844	2.211846	0.676917	0.397630	0.020204	0.002020	0.397630	0.023077	0.002308	0.397630	291.126831	100486.312500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.397630	4.890144	0.158543	NaN	NaN	-59.513358	-0.010344	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.427516	11.546640	1.731996	7.435076	1.115261	1.615541	0.242331	-2197.423573	429.156374	-2369.924492	495.896391	-190.308483	-46.864603	-318.749186	-82.063983	-0.186818	-0.132185	1.088153	0.570624	2.202330	0.674005	0.427516	0.018748	0.001875	0.427516	0.021437	0.002144	0.427516	291.001007	100140.265625	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.427516	4.900511	0.188429	NaN	NaN	-59.697528	-0.010313	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.457402	11.151855	1.672778	7.140456	1.071068	1.561838	0.234276	-1487.554047	303.738199	-1598.051094	339.747138	-133.390722	-33.796075	-223.802378	-58.231277	-0.177125	-0.129069	1.102104	0.577940	2.192771	0.671080	0.457402	0.016937	0.001694	0.457402	0.019347	0.001935	0.457402	290.813629	99795.468750	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.457402	4.918046	0.218315	NaN	NaN	-59.883286	-0.010281	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.487288	10.779274	1.616891	6.872513	1.030877	1.512775	0.226916	-943.490685	194.030116	-1061.440893	231.087180	-87.528222	-22.279753	-154.447266	-40.833125	-0.291196	-0.215582	1.112650	0.583470	2.183641	0.668285	0.487288	0.015957	0.001596	0.487288	0.018241	0.001824	0.487288	290.584351	99451.515625	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.487288	4.927296	0.248201	NaN	NaN	-60.070653	-0.010250	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.517173	10.453616	1.568042	6.623757	0.993564	1.467174	0.220076	-580.702394	127.820310	-708.825013	167.568698	-55.550384	-14.796630	-107.012525	-29.960947	-0.492850	-0.393538	1.127951	0.591494	2.174610	0.665522	0.517173	0.015317	0.001532	0.517173	0.017535	0.001754	0.517173	290.355042	99107.554687	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.517173	4.942594	0.278087	NaN	NaN	-60.259643	-0.010218	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.547059	10.160733	1.524110	6.399831	0.959975	1.427178	0.214077	-327.682609	82.616496	-463.183294	125.987515	-32.249899	-9.461170	-72.374301	-22.481041	-0.855514	-0.784359	1.142719	0.599238	2.164869	0.662540	0.547059	0.014723	0.001472	0.547059	0.016875	0.001687	0.547059	290.125732	98763.601562	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.547059	4.958862	0.307973	NaN	NaN	-60.450276	-0.010187	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.576945	9.875929	1.481389	6.186555	0.927983	1.392501	0.208875	-148.216397	50.038687	-285.687113	96.622561	-15.007844	-5.544328	-46.178707	-17.085296	-1.622206	-1.916346	1.156223	0.606320	2.151458	0.658436	0.576945	0.014154	0.001415	0.576945	0.016237	0.001624	0.576945	289.896423	98419.648437	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.576945	4.972082	0.337858	NaN	NaN	-60.591518	-0.010172	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.606831	9.629648	1.444447	5.998070	0.899710	1.363301	0.204495	-18.274722	26.737616	-150.399060	74.182948	-1.897756	-2.791147	-25.074577	-12.927068	-5.210481	-19.887408	1.170282	0.613692	2.137394	0.654132	0.606831	0.013606	0.001361	0.606831	0.015615	0.001561	0.606831	289.667114	98075.695312	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.606831	4.988043	0.367744	NaN	NaN	-60.612666	-0.010159	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.636717	9.392455	1.408868	5.826064	0.873910	1.337268	0.200590	82.745009	5.892588	-43.037079	52.800822	8.809732	1.462824	-7.386990	-9.130348	NaN	NaN	1.180555	0.619080	2.123233	0.649798	0.636717	0.013052	0.001305	0.636717	0.014975	0.001497	0.636717	289.437836	97731.742187	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.636717	4.989249	0.397630	NaN	NaN	-60.546327	-0.010115	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.666603	9.142492	1.371374	5.660796	0.849119	1.311362	0.196704	158.781304	-13.547763	38.308377	32.907573	17.367399	2.997076	6.767313	5.901203	3.514880	7.500639	1.185014	0.621417	2.109939	0.645730	0.666603	0.012409	0.001241	0.666603	0.014217	0.001422	0.666603	289.208527	97387.781250	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.666603	4.996747	0.427516	NaN	NaN	-60.425374	-0.010066	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
