Height(km):	Beta355 (Mm^-1 sr^-1):	error beta355 (Mm^-1 sr^-1)	Beta532 (Mm^-1 sr^-1):	error beta532 (Mm^-1 sr^-1)	Beta1064 (Mm^-1 sr^-1):	error beta1064 (Mm^-1 sr^-1)	alpha355 (Mm^-1 sr^-1):	error alpha355 (Mm^-1)	alpha532 (Mm^-1 sr^-1):	error alpha532 (Mm^-1)	S355 (sr^-1)	errorS355	S532 (sr^-1)	error S532	Angstrom ext	error Angstrom ext	Angstrom b355/532	error Angstrom b355/532	Angstrom b532/1064	error Angstrom b532/1064 	voldepol höhe	vol.depol 532	error vol.depol 	partdepolhöhe	part. depol 532	error part. depol	sounding height (km)	Temperature (K)	Pressure (Pa)	voltdepol height	vol. depol 355	error	partdepol height	part. depol 355	error	Mixing ratio height (km)	Water vapour mixing ratio (g/kg)	Height NF (km):	Beta532 NF (Mm^-1 sr^-1):	error beta532 NF (Mm^-1 sr^-1)	alpha 532 NF (Mm^-1 sr^-1):	error alpha532 NF (Mm^-1)	Spar 532 NF (sr):	error Spar532 NF (sr)	Height HSRL (km):	BetaHSRL (Mm^-1 sr^-1):	error betaHSRL (Mm^-1 sr^-1)	alpha HSRL (Mm^-1 sr^-1):	error alphaHSRL (Mm^-1)	Spar HSRL (sr)	error Spar HSRL (sr)	vol. depol 1064	error	part. depol 1064	error	water_vapour_error	Sounding height	water_vapor_mix_sonde	Height NF 355 (km):	Beta355 NF (Mm^-1 sr^-1):	error beta355 NF (Mm^-1 sr^-1)	alpha 355 NF (Mm^-1 sr^-1):	error alpha355 NF (Mm^-1)	Spar 355 NF (sr):	error Spar 355 NF (sr)	BetaMOL 355 (m^-1 sr^-1)	BetaMOL 532 (m^-1 sr^-1)	BetaMOL 1064 (m^-1 sr^-1)	Ang b355/532 NF	Error Ang b355/532 NF	Ang Ext NF	Error Ang Ext NF
0.280194	0.460437	0.069066	0.313901	0.047085	0.098547	0.014782	-8698.885421	2586.166029	-8972.498875	2884.334677	-18892.683779	-6291.190746	-28583.846682	-10139.776781	-0.076557	-0.082867	0.947029	0.496619	1.671425	0.511526	0.280194	0.007478	0.000748	0.280194	0.020677	0.002068	3.750000	283.516510	100655.203125	0.280194	0.020665	0.002066	0.280194	-0.046018	-0.004602	0.000000	0.000000	0.280194	0.175258	0.000026	-4260.022568	3.242960	-24307.173429	-18859.734695	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.238685	0.000000	0.000000	0.280194	NaN	NaN	NaN	NaN	NaN	0.000000	0.008333	0.001563	0.000095	NaN	NaN	NaN	NaN
0.287665	0.452032	0.067805	0.312588	0.046888	0.097551	0.014633	-8113.644837	2232.148576	-8362.906975	2540.543215	-17949.288994	-5624.339351	-26753.740383	-9064.213004	-0.074801	-0.075784	0.911845	0.478169	1.680041	0.514163	0.287665	0.006960	0.000696	0.287665	0.017493	0.001749	11.221460	283.467957	100565.953125	0.287665	0.019968	0.001997	0.287665	-0.058760	-0.005876	0.000000	0.000000	0.287665	0.174448	0.000026	-3626.188923	2.790141	-20786.657981	-16295.207427	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.160363	0.000000	0.000000	0.287665	NaN	NaN	NaN	NaN	NaN	0.000000	0.008327	0.001562	0.000095	NaN	NaN	NaN	NaN
0.295137	0.443281	0.066492	0.311931	0.046790	0.096572	0.014486	-7716.820070	2089.514848	-7929.636114	2382.096777	-17408.433941	-5388.707600	-25421.096368	-8535.688842	-0.067251	-0.067235	0.868721	0.455554	1.691559	0.517688	0.295137	0.006077	0.000608	0.295137	0.012068	0.001207	18.692921	283.419403	100476.703125	0.295137	0.020134	0.002013	0.295137	-0.056117	-0.005612	0.000000	0.000000	0.295137	0.173956	0.000026	-3138.498358	2.495899	-18041.894194	-14600.862157	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.450697	0.000000	0.000000	0.295137	NaN	NaN	NaN	NaN	NaN	0.000000	0.008321	0.001561	0.000095	NaN	NaN	NaN	NaN
0.302608	0.434392	0.065159	0.311186	0.046678	0.095602	0.014340	-7349.306554	1968.827214	-7524.613866	2243.808568	-16918.618539	-5194.501333	-24180.443202	-8071.371099	-0.058275	-0.057746	0.824561	0.432397	1.702669	0.521088	0.302608	0.005835	0.000584	0.302608	0.010597	0.001060	26.164381	283.370819	100387.453125	0.302608	0.020260	0.002026	0.302608	-0.054162	-0.005416	0.000000	0.000000	0.302608	0.173503	0.000026	-2681.788610	2.218225	-15456.747953	-12993.482704	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.448426	0.000000	0.000000	0.302608	NaN	NaN	NaN	NaN	NaN	0.000000	0.008315	0.001560	0.000094	NaN	NaN	NaN	NaN
0.310080	0.425118	0.063768	0.309865	0.046480	0.094734	0.014210	-7005.940435	1863.683335	-7137.368760	2115.814793	-16479.988279	-5032.844750	-23033.814092	-7652.558617	-0.045945	-0.045237	0.781732	0.409938	1.709680	0.523233	0.310080	0.005662	0.000566	0.310080	0.009547	0.000955	33.635841	283.322266	100298.203125	0.310080	0.020374	0.002037	0.310080	-0.052407	-0.005241	0.000000	0.000000	0.310080	0.174190	0.000026	-2247.577826	1.946286	-12903.031953	-11339.748832	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.445785	0.000000	0.000000	0.310080	NaN	NaN	NaN	NaN	NaN	0.000000	0.008309	0.001559	0.000094	NaN	NaN	NaN	NaN
0.317551	0.418831	0.062825	0.309033	0.046355	0.093911	0.014087	-6675.976655	1766.879946	-6762.150530	1993.881024	-15939.558516	-4849.037473	-21881.627309	-7238.878772	-0.031705	-0.031054	0.751542	0.394106	1.718393	0.525900	0.317551	0.005477	0.000548	0.317551	0.008417	0.000842	41.107300	283.273712	100208.960937	0.317551	0.020490	0.002049	0.317551	-0.050608	-0.005061	0.000000	0.000000	0.317551	0.174243	0.000026	-1830.113347	1.666840	-10503.237806	-9695.060224	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.443381	0.000000	0.000000	0.317551	NaN	NaN	NaN	NaN	NaN	0.000000	0.008303	0.001558	0.000094	NaN	NaN	NaN	NaN
0.325023	0.407683	0.061152	0.307859	0.046179	0.093036	0.013955	-6352.085040	1671.260271	-6393.497245	1872.074910	-15580.944267	-4718.835570	-20767.587527	-6832.417512	-0.016064	-0.015632	0.694261	0.364068	1.726418	0.528356	0.325023	0.005315	0.000532	0.325023	0.007435	0.000743	48.578762	283.225128	100119.710937	0.325023	0.020626	0.002063	0.325023	-0.048426	-0.004843	0.000000	0.000000	0.325023	0.173944	0.000026	-1434.691943	1.375865	-8247.999991	-8005.978089	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.440563	0.000000	0.000000	0.325023	NaN	NaN	NaN	NaN	NaN	0.000000	0.008297	0.001557	0.000094	NaN	NaN	NaN	NaN
0.332494	0.401020	0.060153	0.306518	0.045978	0.092088	0.013813	-6037.761928	1579.242873	-6030.201203	1749.028016	-15056.012932	-4539.684804	-19673.266156	-6424.035058	0.003098	0.002991	0.664324	0.348370	1.734880	0.530946	0.332494	0.005162	0.000516	0.332494	0.006498	0.000650	56.050220	283.176575	100030.460937	0.332494	0.020755	0.002075	0.332494	-0.046342	-0.004634	0.000000	0.000000	0.332494	0.174010	0.000026	-1063.744150	1.071196	-6113.137541	-6223.879117	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.436862	0.000000	0.000000	0.332494	NaN	NaN	NaN	NaN	NaN	0.000000	0.008291	0.001556	0.000094	NaN	NaN	NaN	NaN
0.339966	0.396908	0.059536	0.305282	0.045792	0.091273	0.013691	-5724.537191	1485.686230	-5675.283513	1627.383278	-14422.827372	-4323.374696	-18590.272472	-6016.046874	0.021361	0.020423	0.648828	0.340243	1.741877	0.533087	0.339966	0.004998	0.000500	0.339966	0.005498	0.000550	63.521683	283.127411	99941.796875	0.339966	0.020899	0.002090	0.339966	-0.043964	-0.004396	0.000000	0.000000	0.339966	0.173263	0.000026	-747.806190	0.785513	-4316.025482	-4579.643930	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.434978	0.000000	0.000000	0.339966	NaN	NaN	NaN	NaN	NaN	0.000000	0.008285	0.001554	0.000094	NaN	NaN	NaN	NaN
0.347437	0.389109	0.058366	0.303892	0.045584	0.090390	0.013559	-5417.500322	1392.091683	-5326.135985	1502.930230	-13922.831546	-4142.585601	-17526.431014	-5600.940542	0.042046	0.039668	0.611058	0.320437	1.749315	0.535364	0.347437	0.004852	0.000485	0.347437	0.004609	0.000461	70.993141	283.077911	99853.437500	0.347437	0.021037	0.002104	0.347437	-0.041669	-0.004167	0.000000	0.000000	0.347437	0.173214	0.000026	-507.372466	0.568387	-2929.168284	-3310.703817	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.431390	0.000000	0.000000	0.347437	NaN	NaN	NaN	NaN	NaN	0.000000	0.008279	0.001553	0.000094	NaN	NaN	NaN	NaN
